order_id,order_date,order_customer_id,order_status
1,7/25/2013 0:00,11599,CLOSED
2,7/25/2013 0:00,256,PENDING_PAYMENT
3,7/25/2013 0:00,12111,COMPLETE
4,7/25/2013 0:00,8827,CLOSED
5,7/25/2013 0:00,11318,COMPLETE
6,7/25/2013 0:00,7130,COMPLETE
7,7/25/2013 0:00,4530,COMPLETE
8,7/25/2013 0:00,2911,PROCESSING
9,7/25/2013 0:00,5657,PENDING_PAYMENT
10,7/25/2013 0:00,5648,PENDING_PAYMENT
11,7/25/2013 0:00,918,PAYMENT_REVIEW
12,7/25/2013 0:00,1837,CLOSED
13,7/25/2013 0:00,9149,PENDING_PAYMENT
14,7/25/2013 0:00,9842,PROCESSING
15,7/25/2013 0:00,2568,COMPLETE
16,7/25/2013 0:00,7276,PENDING_PAYMENT
17,7/25/2013 0:00,2667,COMPLETE
18,7/25/2013 0:00,1205,CLOSED
19,7/25/2013 0:00,9488,PENDING_PAYMENT
20,7/25/2013 0:00,9198,PROCESSING
21,7/25/2013 0:00,2711,PENDING
22,7/25/2013 0:00,333,COMPLETE
23,7/25/2013 0:00,4367,PENDING_PAYMENT
24,7/25/2013 0:00,11441,CLOSED
25,7/25/2013 0:00,9503,CLOSED
26,7/25/2013 0:00,7562,COMPLETE
27,7/25/2013 0:00,3241,PENDING_PAYMENT
28,7/25/2013 0:00,656,COMPLETE
29,7/25/2013 0:00,196,PROCESSING
30,7/25/2013 0:00,10039,PENDING_PAYMENT
31,7/25/2013 0:00,6983,PAYMENT_REVIEW
32,7/25/2013 0:00,3960,COMPLETE
33,7/25/2013 0:00,5793,PENDING_PAYMENT
34,7/25/2013 0:00,4189,PROCESSING
35,7/25/2013 0:00,4840,COMPLETE
36,7/25/2013 0:00,5649,PENDING
37,7/25/2013 0:00,5863,CLOSED
38,7/25/2013 0:00,11586,PROCESSING
39,7/25/2013 0:00,8214,PENDING
40,7/25/2013 0:00,12092,PENDING_PAYMENT
41,7/25/2013 0:00,8136,PENDING_PAYMENT
42,7/25/2013 0:00,9776,PENDING
43,7/25/2013 0:00,7776,PENDING_PAYMENT
44,7/25/2013 0:00,10500,PENDING
45,7/25/2013 0:00,2636,COMPLETE
46,7/25/2013 0:00,1549,ON_HOLD
47,7/25/2013 0:00,8487,PENDING_PAYMENT
48,7/25/2013 0:00,12186,PROCESSING
49,7/25/2013 0:00,1871,PENDING
50,7/25/2013 0:00,5225,CANCELED
51,7/25/2013 0:00,12271,CLOSED
52,7/25/2013 0:00,5126,PENDING_PAYMENT
53,7/25/2013 0:00,4701,PROCESSING
54,7/25/2013 0:00,10628,PENDING_PAYMENT
55,7/25/2013 0:00,2052,PENDING
56,7/25/2013 0:00,10519,COMPLETE
57,7/25/2013 0:00,7073,CLOSED
58,7/25/2013 0:00,9213,PENDING_PAYMENT
59,7/25/2013 0:00,11644,PENDING_PAYMENT
60,7/25/2013 0:00,8365,PENDING_PAYMENT
61,7/25/2013 0:00,4791,CLOSED
62,7/25/2013 0:00,9111,CLOSED
63,7/25/2013 0:00,1148,COMPLETE
64,7/25/2013 0:00,5579,PENDING_PAYMENT
65,7/25/2013 0:00,5903,COMPLETE
66,7/25/2013 0:00,1792,ON_HOLD
67,7/25/2013 0:00,1406,COMPLETE
68,7/25/2013 0:00,4320,PENDING
69,7/25/2013 0:00,2821,SUSPECTED_FRAUD
70,7/25/2013 0:00,11809,PENDING_PAYMENT
71,7/25/2013 0:00,8646,COMPLETE
72,7/25/2013 0:00,4349,COMPLETE
73,7/25/2013 0:00,8504,PENDING_PAYMENT
74,7/25/2013 0:00,662,PENDING_PAYMENT
75,7/25/2013 0:00,2505,PENDING_PAYMENT
76,7/25/2013 0:00,6898,COMPLETE
77,7/25/2013 0:00,7915,PENDING_PAYMENT
78,7/25/2013 0:00,8619,PAYMENT_REVIEW
79,7/25/2013 0:00,7327,PENDING_PAYMENT
80,7/25/2013 0:00,3007,COMPLETE
81,7/25/2013 0:00,674,PROCESSING
82,7/25/2013 0:00,3566,PENDING_PAYMENT
83,7/25/2013 0:00,1265,COMPLETE
84,7/25/2013 0:00,6789,PROCESSING
85,7/25/2013 0:00,1485,PENDING
86,7/25/2013 0:00,6680,PENDING_PAYMENT
87,7/25/2013 0:00,3065,CLOSED
88,7/25/2013 0:00,3809,COMPLETE
89,7/25/2013 0:00,824,ON_HOLD
90,7/25/2013 0:00,9131,CLOSED
91,7/25/2013 0:00,8912,COMPLETE
92,7/25/2013 0:00,6932,COMPLETE
93,7/25/2013 0:00,2256,PENDING_PAYMENT
94,7/25/2013 0:00,11589,PROCESSING
95,7/25/2013 0:00,9032,COMPLETE
96,7/25/2013 0:00,8683,PENDING
97,7/25/2013 0:00,10784,PENDING
98,7/25/2013 0:00,5243,COMPLETE
99,7/25/2013 0:00,11542,PENDING_PAYMENT
100,7/25/2013 0:00,12131,PROCESSING
101,7/25/2013 0:00,5116,CLOSED
102,7/25/2013 0:00,8027,COMPLETE
103,7/25/2013 0:00,12256,PROCESSING
104,7/25/2013 0:00,7790,PENDING_PAYMENT
105,7/26/2013 0:00,8220,COMPLETE
106,7/26/2013 0:00,395,PROCESSING
107,7/26/2013 0:00,1845,COMPLETE
108,7/26/2013 0:00,12149,PROCESSING
109,7/26/2013 0:00,9345,PENDING_PAYMENT
110,7/26/2013 0:00,2746,COMPLETE
111,7/26/2013 0:00,4271,PROCESSING
112,7/26/2013 0:00,5375,CANCELED
113,7/26/2013 0:00,10216,PENDING_PAYMENT
114,7/26/2013 0:00,2091,COMPLETE
115,7/26/2013 0:00,104,PROCESSING
116,7/26/2013 0:00,8763,CLOSED
117,7/26/2013 0:00,58,SUSPECTED_FRAUD
118,7/26/2013 0:00,1737,COMPLETE
119,7/26/2013 0:00,8124,PENDING_PAYMENT
120,7/26/2013 0:00,356,PENDING_PAYMENT
121,7/26/2013 0:00,2074,PENDING
122,7/26/2013 0:00,2071,PROCESSING
123,7/26/2013 0:00,3695,PENDING_PAYMENT
124,7/26/2013 0:00,2374,COMPLETE
125,7/26/2013 0:00,4611,PENDING_PAYMENT
126,7/26/2013 0:00,610,COMPLETE
127,7/26/2013 0:00,5261,PENDING_PAYMENT
128,7/26/2013 0:00,2772,PENDING_PAYMENT
129,7/26/2013 0:00,9937,CLOSED
130,7/26/2013 0:00,7509,PENDING_PAYMENT
131,7/26/2013 0:00,10072,PROCESSING
132,7/26/2013 0:00,289,PENDING
133,7/26/2013 0:00,10604,CLOSED
134,7/26/2013 0:00,12081,PENDING_PAYMENT
135,7/26/2013 0:00,7738,COMPLETE
